Q0,Q1,Q2,Q3,Timestamp
0.369642,0.485029,-0.117471,0.77595,2025-07-14T00:00:00
-0.547421,0.195188,-0.012793,-0.368554,2025-07-14T01:00:00
-0.508246,0.886916,-0.017273,0.264306,2025-07-14T02:00:00
-0.230363,0.444504,0.422078,-0.666792,2025-07-14T03:00:00
0.25546,-0.250996,-0.117489,0.201249,2025-07-14T04:00:00
0.396187,0.785657,-0.976908,0.886897,2025-07-14T05:00:00
-0.934782,0.46991,-0.05954,0.462592,2025-07-14T06:00:00
0.803166,0.09727,0.009915,0.353096,2025-07-14T07:00:00
0.882271,-0.933754,0.553574,-0.712117,2025-07-14T08:00:00
0.368609,0.685466,0.826018,-0.777666,2025-07-14T09:00:00
-0.839532,-0.030167,-0.189872,-0.809209,2025-07-14T10:00:00
-0.103228,-0.557433,0.542927,0.416665,2025-07-14T11:00:00
-0.829751,-0.6238,-0.268754,0.609084,2025-07-14T12:00:00
0.852271,0.463288,0.97535,-0.07501,2025-07-14T13:00:00
0.137719,-0.195814,0.941235,0.713776,2025-07-14T14:00:00
-0.708794,0.641657,-0.161738,-0.752738,2025-07-14T15:00:00
0.513834,0.061977,0.967258,-0.533322,2025-07-14T16:00:00
-0.196176,-0.472944,0.231401,-0.980171,2025-07-14T17:00:00
0.01424,0.241241,-0.747072,-0.485793,2025-07-14T18:00:00
-0.468245,0.740579,-0.473413,0.317396,2025-07-14T19:00:00
0.289917,0.843338,0.228083,-0.046535,2025-07-14T20:00:00
0.337702,0.185812,0.660949,0.154812,2025-07-14T21:00:00
0.040784,0.009408,-0.608719,-0.075684,2025-07-14T22:00:00
0.206559,-0.370928,0.097814,-0.590404,2025-07-14T23:00:00
0.63017,-0.848122,-0.12289,-0.155272,2025-07-15T00:00:00
0.961633,-0.390084,0.631457,-0.774195,2025-07-15T01:00:00
-0.711757,-0.992665,-0.53206,-0.878318,2025-07-15T02:00:00
0.040489,0.865188,0.195164,0.221035,2025-07-15T03:00:00
-0.844763,0.583122,0.569607,0.222732,2025-07-15T04:00:00
0.125273,0.815224,0.110039,0.145844,2025-07-15T05:00:00
0.529367,-0.737401,0.078799,-0.941737,2025-07-15T06:00:00
-0.690682,0.98655,-0.042988,0.365004,2025-07-15T07:00:00
0.948775,-0.176311,0.394861,-0.809544,2025-07-15T08:00:00
-0.601333,0.869505,0.936007,0.535909,2025-07-15T09:00:00
0.272656,0.086678,0.074228,0.642557,2025-07-15T10:00:00
-0.620174,0.037168,-0.774265,-0.381237,2025-07-15T11:00:00
0.574042,-0.332187,0.55551,0.05725,2025-07-15T12:00:00
-0.319875,-0.912063,0.284839,-0.219118,2025-07-15T13:00:00
-0.217126,0.37351,0.482975,0.277673,2025-07-15T14:00:00
-0.059857,-0.36062,-0.124936,0.911011,2025-07-15T15:00:00
-0.48566,0.611201,0.392724,0.245788,2025-07-15T16:00:00
-0.205512,-0.338647,-0.952369,0.41265,2025-07-15T17:00:00
-0.438727,-0.688066,0.972778,-0.691728,2025-07-15T18:00:00
0.201951,-0.966569,-0.355305,-0.42619,2025-07-15T19:00:00
-0.443348,0.458924,0.822871,-0.639713,2025-07-15T20:00:00
0.593606,-0.798844,0.806921,0.32672,2025-07-15T21:00:00
0.089245,0.481788,-0.048208,-0.043625,2025-07-15T22:00:00
0.883372,0.988143,-0.710235,-0.136021,2025-07-15T23:00:00
0.228039,-0.956163,0.768855,0.274092,2025-07-16T00:00:00
0.599945,-0.26359,-0.691207,0.120127,2025-07-16T01:00:00
-0.179333,-0.758338,0.611914,-0.965138,2025-07-16T02:00:00
0.001581,-0.728294,0.761723,0.791652,2025-07-16T03:00:00
0.441531,-0.506983,0.90956,-0.479371,2025-07-16T04:00:00
-0.101779,-0.559887,-0.86456,0.196078,2025-07-16T05:00:00
0.463321,0.052641,-0.454235,-0.222481,2025-07-16T06:00:00
-0.704652,0.275412,0.165931,0.109295,2025-07-16T07:00:00
0.192746,-0.843834,0.925705,0.472786,2025-07-16T08:00:00
-0.177331,0.744035,-0.229286,-0.230468,2025-07-16T09:00:00
-0.421868,0.008535,-0.313118,0.169722,2025-07-16T10:00:00
0.94287,0.942269,-0.056346,-0.274681,2025-07-16T11:00:00
0.664432,0.867707,0.492523,-0.905173,2025-07-16T12:00:00
-0.859705,-0.727337,0.445435,-0.780022,2025-07-16T13:00:00
0.28493,-0.758158,0.423817,0.554126,2025-07-16T14:00:00
